caminho,tipo,linhas,camada,status,tags,proposito
tests/conftest.py,source,48,teste,active,,Fixtures compartilhadas para testes E2E
tests/e2e/__init__.py,source,0,teste,active,,Pacote testes E2E
tests/e2e/test_fluxo_financeiro.py,source,251,teste,active,,Teste E2E do fluxo financeiro completo
registry-map/README.md,doc,70,doc,active,,Índice do registry-map
REGISTRY.csv,config,90,infra,active,hub;startup-critico,Registro central de todos os arquivos do projeto
sprints/INDEX.md,doc,0,doc,active,hub,Índice geral de todas as sprints com status
sprints/ROADMAP.md,doc,0,doc,active,,Visão de produto e cronograma macro
sprints/concluidos/S00_FUNDACAO.md,doc,0,doc,active,,Sprint S00 - Fundação (concluído)
sprints/concluidos/S01_FINANCAS_CORE.md,doc,0,doc,active,,Sprint S01 - Finanças Core (concluído)
sprints/concluidos/S02_INDICADORES_MACRO.md,doc,0,doc,active,,Sprint S02 - Indicadores Macro (concluído)
sprints/concluidos/S03_MOTOR_ANTI_IMPULSO.md,doc,0,doc,active,,Sprint S03 - Motor Anti-Impulso (concluído)
sprints/planejados/S04_DASHBOARD_FLET.md,doc,0,doc,active,,Sprint S04 - Dashboard Flet (planejado)
sprints/planejados/S03.5_CONFIGURACAO_ONBOARDING.md,doc,0,doc,active,,Sprint S03.5 - Configuração e Onboarding (planejado)
sprints/planejados/S04.5_NOTIFICADORES.md,doc,0,doc,active,,Sprint S04.5 - Notificadores ntfy.sh e desktop (planejado)
sprints/planejados/S05a_METAS_VINCULO.md,doc,0,doc,active,,Sprint S05a - Metas + vínculo financeiro (planejado)
sprints/planejados/S05b_HABITOS_GAMIFICACAO.md,doc,0,doc,active,,Sprint S05b - Hábitos + gamificação (planejado)
sprints/planejados/S06_BLOQUEIO_DESKTOP.md,doc,0,doc,active,,Sprint S06 - Bloqueio Desktop (planejado)
sprints/planejados/S07_PONTE_MOBILE.md,doc,0,doc,active,,Sprint S07 - Ponte Mobile (planejado)
sprints/planejados/S07.5_QUALIDADE_COBERTURA.md,doc,0,doc,active,,Sprint S07.5 - Qualidade e cobertura (planejado)
sprints/planejados/S08_APP_MOBILE_FLET.md,doc,0,doc,active,,Sprint S08 - App Mobile Flet (planejado)
sprints/planejados/S09_ESTUDOS_ESCRITA.md,doc,0,doc,active,,Sprint S09 - Estudos e Escrita (planejado)
sprints/planejados/S10_IA_CONVERSACIONAL.md,doc,0,doc,active,,Sprint S10 - IA Conversacional (planejado)
sprints/planejados/S11_SAUDE.md,doc,0,doc,active,,Sprint S11 - Saúde (planejado)
sprints/planejados/S12_SYNC_CASAL.md,doc,0,doc,active,,Sprint S12 - Sync Casal (planejado)
sprints/planejados/S13_INTEGRACAO_LUNA.md,doc,0,doc,active,,Sprint S13 - Integração Luna (planejado)
sprints/relatorios/TEMPLATE_RELATORIO.md,doc,0,doc,active,,Template para relatórios executivos
sprints/relatorios/RELATORIO_FASE_0_FUNDACAO.md,doc,0,doc,active,,Relatório executivo da Fase 0
sprints/planejados/S14_ORCAMENTO_INTELIGENTE.md,doc,0,doc,active,,Sprint S14 - Orçamento Inteligente (planejado)
sprints/planejados/S15_AUTOMACAO_WORKFLOWS.md,doc,0,doc,active,,Sprint S15 - Automação de Workflows (planejado)
sprints/planejados/S16_VIDA_DOMESTICA.md,doc,0,doc,active,,Sprint S16 - Vida Doméstica (planejado)
scripts/hooks/check_anonymity.py,script,0,infra,active,,Hook pre-commit: bloqueia menções a IA
scripts/hooks/check_acentuacao.py,script,0,infra,active,,Hook pre-commit: verifica acentuação PT-BR
scripts/hooks/check_registry.py,script,0,infra,active,,Hook pre-commit: verifica REGISTRY.csv
.pre-commit-config.yaml,config,0,infra,active,startup-critico,Configuração de hooks de pre-commit
Justfile,config,0,infra,active,,Automação local (just test/lint/ci/run)
requirements-ci.txt,config,0,infra,active,,Dependências mínimas para CI
.github/workflows/ci.yml,config,0,infra,active,,CI: pre-commit + ruff + pytest E2E
.github/workflows/quality-gates.yml,config,0,infra,active,,Gates bloqueantes em PRs para main
.github/ISSUE_TEMPLATE/bug.yml,config,0,infra,active,,Template de bug report
.github/ISSUE_TEMPLATE/feature.yml,config,0,infra,active,,Template de feature request
.github/PULL_REQUEST_TEMPLATE.md,doc,0,infra,active,,Template de Pull Request
